Frame	Phase
0	Preparation
1	Preparation
2	Preparation
3	Preparation
4	Preparation
5	Preparation
6	Preparation
7	Preparation
8	Preparation
9	Preparation
10	Preparation
11	Preparation
12	Preparation
13	Preparation
14	Preparation
15	Preparation
16	Preparation
17	Preparation
18	Preparation
19	Preparation
20	Preparation
21	CalotTriangleDissection
22	CalotTriangleDissection
23	CalotTriangleDissection
24	CalotTriangleDissection
25	CalotTriangleDissection
26	CalotTriangleDissection
27	CalotTriangleDissection
28	CalotTriangleDissection
29	CalotTriangleDissection
30	CalotTriangleDissection
31	CalotTriangleDissection
32	CalotTriangleDissection
33	CalotTriangleDissection
34	CalotTriangleDissection
35	CalotTriangleDissection
36	CalotTriangleDissection
37	CalotTriangleDissection
38	CalotTriangleDissection
39	CalotTriangleDissection
40	CalotTriangleDissection
41	CalotTriangleDissection
42	CalotTriangleDissection
43	CalotTriangleDissection
44	CalotTriangleDissection
45	CalotTriangleDissection
46	CalotTriangleDissection
47	CalotTriangleDissection
48	CalotTriangleDissection
49	CalotTriangleDissection
50	CalotTriangleDissection
51	CalotTriangleDissection
52	CalotTriangleDissection
53	CalotTriangleDissection
54	CalotTriangleDissection
55	CalotTriangleDissection
56	CalotTriangleDissection
57	CalotTriangleDissection
58	CalotTriangleDissection
59	CalotTriangleDissection
60	CalotTriangleDissection
61	CalotTriangleDissection
62	CalotTriangleDissection
63	CalotTriangleDissection
64	CalotTriangleDissection
65	CalotTriangleDissection
66	CalotTriangleDissection
67	CalotTriangleDissection
68	CalotTriangleDissection
69	CalotTriangleDissection
70	CalotTriangleDissection
71	CalotTriangleDissection
72	CalotTriangleDissection
73	CalotTriangleDissection
74	CalotTriangleDissection
75	CalotTriangleDissection
76	CalotTriangleDissection
77	CalotTriangleDissection
78	CalotTriangleDissection
79	CalotTriangleDissection
80	CalotTriangleDissection
81	CalotTriangleDissection
82	CalotTriangleDissection
83	CalotTriangleDissection
84	CalotTriangleDissection
85	CalotTriangleDissection
86	CalotTriangleDissection
87	CalotTriangleDissection
88	CalotTriangleDissection
89	CalotTriangleDissection
90	CalotTriangleDissection
91	CalotTriangleDissection
92	CalotTriangleDissection
93	CalotTriangleDissection
94	CalotTriangleDissection
95	CalotTriangleDissection
96	CalotTriangleDissection
97	CalotTriangleDissection
98	CalotTriangleDissection
99	CalotTriangleDissection
100	CalotTriangleDissection
101	CalotTriangleDissection
102	CalotTriangleDissection
103	CalotTriangleDissection
104	CalotTriangleDissection
105	CalotTriangleDissection
106	CalotTriangleDissection
107	CalotTriangleDissection
108	CalotTriangleDissection
109	CalotTriangleDissection
110	CalotTriangleDissection
111	CalotTriangleDissection
112	CalotTriangleDissection
113	CalotTriangleDissection
114	CalotTriangleDissection
115	CalotTriangleDissection
116	CalotTriangleDissection
117	CalotTriangleDissection
118	CalotTriangleDissection
119	CalotTriangleDissection
120	CalotTriangleDissection
121	CalotTriangleDissection
122	CalotTriangleDissection
123	CalotTriangleDissection
124	CalotTriangleDissection
125	CalotTriangleDissection
126	CalotTriangleDissection
127	CalotTriangleDissection
128	CalotTriangleDissection
129	CalotTriangleDissection
130	CalotTriangleDissection
131	CalotTriangleDissection
132	CalotTriangleDissection
133	CalotTriangleDissection
134	CalotTriangleDissection
135	CalotTriangleDissection
136	CalotTriangleDissection
137	CalotTriangleDissection
138	CalotTriangleDissection
139	CalotTriangleDissection
140	CalotTriangleDissection
141	CalotTriangleDissection
142	CalotTriangleDissection
143	CalotTriangleDissection
144	CalotTriangleDissection
145	CalotTriangleDissection
146	CalotTriangleDissection
147	CalotTriangleDissection
148	CalotTriangleDissection
149	CalotTriangleDissection
150	CalotTriangleDissection
151	CalotTriangleDissection
152	CalotTriangleDissection
153	CalotTriangleDissection
154	CalotTriangleDissection
155	CalotTriangleDissection
156	CalotTriangleDissection
157	CalotTriangleDissection
158	CalotTriangleDissection
159	CalotTriangleDissection
160	CalotTriangleDissection
161	CalotTriangleDissection
162	CalotTriangleDissection
163	CalotTriangleDissection
164	CalotTriangleDissection
165	CalotTriangleDissection
